종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4280","-115","-2.62","193681808520"
"006840","AK홀딩스","KOSPI","기타금융","7550","50","0.67","100019085550"
"027410","BGF","KOSPI","기타금융","3860","-70","-1.78","369466813260"
"282330","BGF리테일","KOSPI","유통","149900","-1000","-0.66","2590857509400"
"138930","BNK금융지주","KOSPI","기타금융","15140","-270","-1.75","4645553830140"
"001460","BYC","KOSPI","섬유·의류","37950","100","0.26","237041392500"
"001465","BYC우","KOSPI","섬유·의류","27050","-100","-0.37","58261642500"
"001040","CJ","KOSPI","기타금융","130300","-3300","-2.47","3801762839400"
"079160","CJ CGV","KOSPI","오락·문화","5290","-250","-4.51","875932996130"
"00104K","CJ4우(전환)","KOSPI","기타금융","127500","-2400","-1.85","538880280000"
"000120","CJ대한통운","KOSPI","운송·창고","72000","-1500","-2.04","1642488768000"
"011150","CJ씨푸드","KOSPI","음식료·담배","2000","-50","-2.44","71861546000"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","6250","-490","-7.27","1250000000"
"001045","CJ우","KOSPI","기타금융","68000","-1500","-2.16","153695164000"
"097950","CJ제일제당","KOSPI","음식료·담배","182600","-3200","-1.72","2748894363600"
"097955","CJ제일제당 우","KOSPI","음식료·담배","121600","-1800","-1.46","161415852800"
"000480","CR홀딩스","KOSPI","비금속","4560","0","0.00","213820634400"
"000590","CS홀딩스","KOSPI","기타금융","66400","-200","-0.30","76657604800"
"012030","DB","KOSPI","IT 서비스","1469","-102","-6.49","295524507577"
"005830","DB손해보험","KOSPI","보험","190900","-1700","-0.88","12504016624100"
"016610","DB증권","KOSPI","증권","9800","-220","-2.20","415974612200"
"000990","DB하이텍","KOSPI","전기·전자","89200","-5200","-5.51","3880609249600"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","28050","350","1.26","581073169050"
"015590","DKME","KOSPI","기계·장비","1371","-99","-6.73","73206338268"
"000210","DL","KOSPI","화학","51200","600","1.19","1072941260800"
"000215","DL우","KOSPI","화학","23850","300","1.27","40213842750"
"375500","DL이앤씨","KOSPI","건설","70000","-1500","-2.10","2708553610000"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","45650","-1600","-3.39","96410563150"
"37550K","DL이앤씨우","KOSPI","건설","24400","-200","-0.81","51578794000"
"007340","DN오토모티브","KOSPI","전기·전자","45150","-1050","-2.27","2641765554750"
"004840","DRB동일","KOSPI","화학","4085","-190","-4.44","78727606940"
"155660","DSR","KOSPI","금속","4500","65","1.47","72000000000"
"069730","DSR제강","KOSPI","금속","5640","20","0.36","81216000000"
"017860","DS단석","KOSPI","화학","11440","-560","-4.67","203164550160"
"092780","DYP","KOSPI","운송장비·부품","3190","-50","-1.54","42007387400"
"017940","E1","KOSPI","유통","98600","600","0.61","676396000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","3120","-70","-2.19","767797680000"
"383220","F&F","KOSPI","섬유·의류","67700","-600","-0.88","2593388977500"
"007700","F&F홀딩스","KOSPI","기타금융","14250","-210","-1.45","557379729750"
"114090","GKL","KOSPI","오락·문화","9470","-140","-1.46","585773194900"
"078930","GS","KOSPI","기타금융","120000","-4700","-3.77","11147459400000"
"006360","GS건설","KOSPI","건설","32250","-1050","-3.15","2760003052500"
"001250","GS글로벌","KOSPI","유통","2605","-95","-3.52","215000455220"
"007070","GS리테일","KOSPI","유통","25950","-400","-1.52","2169612419250"
"078935","GS우","KOSPI","기타금융","61600","-3200","-4.94","109628041600"
"499790","GS피앤엘","KOSPI","기타금융","43550","-1750","-3.86","863633125550"
"012630","HDC","KOSPI","기타금융","22000","-350","-1.57","1314317862000"
"039570","HDC랩스","KOSPI","건설","7560","-110","-1.43","196239463560"
"089470","HDC현대EP","KOSPI","화학","3950","0","0.00","126005000000"
"267270","HD건설기계","KOSPI","기계·장비","124700","-4900","-3.78","5975860555900"
"009540","HD한국조선해양","KOSPI","기타금융","329500","-24000","-6.79","23319741722000"
"267250","HD현대","KOSPI","기타금융","209500","-9500","-4.34","16549051307500"
"443060","HD현대마린솔루션","KOSPI","일반서비스","199000","-4000","-1.97","8921858540000"
"071970","HD현대마린엔진","KOSPI","기계·장비","48950","-3350","-6.41","1660457180250"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","132600","-1300","-0.97","1485120000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","711000","-58000","-7.54","25629512985000"
"329180","HD현대중공업","KOSPI","운송장비·부품","422000","-31000","-6.84","44293636950000"
"097230","HJ중공업","KOSPI","건설","15920","-580","-3.52","1437501876480"
"014790","HL D&I","KOSPI","건설","2580","10","0.39","97675190580"
"003580","HLB글로벌","KOSPI","유통","1628","51","3.23","82480186140"
"204320","HL만도","KOSPI","운송장비·부품","47350","-2950","-5.86","2223419632000"
"060980","HL홀딩스","KOSPI","기타금융","39650","-850","-2.10","359976283550"
"011200","HMM","KOSPI","운송·창고","20800","-550","-2.58","19619349776000"
"035000","HS애드","KOSPI","일반서비스","6490","-30","-0.46","105187609560"
"002460","HS화성","KOSPI","건설","10890","-10","-0.09","110533500000"
"487570","HS효성","KOSPI","기타금융","48150","0","0.00","179403385050"
"298050","HS효성첨단소재","KOSPI","화학","174200","-2500","-1.41","780406941600"
"015360","INVENI","KOSPI","일반서비스","14050","-200","-1.40","382862500000"
"294870","IPARK현대산업개발","KOSPI","건설","22800","-250","-1.08","1502687124000"
"175330","JB금융지주","KOSPI","기타금융","30550","1300","4.44","5698241723200"
"234080","JW생명과학","KOSPI","제약","11390","0","0.00","180355570060"
"001060","JW중외제약","KOSPI","제약","27750","-1250","-4.31","646184557500"
"001067","JW중외제약2우B","KOSPI","제약","48800","0","0.00","10246682400"
"001065","JW중외제약우","KOSPI","제약","22650","100","0.44","7745190150"
"096760","JW홀딩스","KOSPI","기타금융","4180","-25","-0.59","309006257560"
"008970","KBI동양철관","KOSPI","금속","1053","-25","-2.32","109266553071"
"105560","KB금융","KOSPI","기타금융","169100","-2100","-1.23","59977695819400"
"415640","KB발해인프라","KOSPI","기타금융","10490","-50","-0.47","1285502798520"
"432320","KB스타리츠","KOSPI","부동산","1452","3","0.21","218909741820"
"002380","KCC","KOSPI","화학","479500","-14000","-2.84","4120293632000"
"344820","KCC글라스","KOSPI","비금속","24950","-400","-1.58","398464274400"
"009070","KCTC","KOSPI","운송·창고","4020","-90","-2.19","120600000000"
"009440","KC그린홀딩스","KOSPI","기타금융","756","0","0.00","17568790596"
"119650","KC코트렐","KOSPI","기계·장비","918","0","0.00","100782913662"
"092220","KEC","KOSPI","전기·전자","2710","-120","-4.24","108813621880"
"003620","KG모빌리티","KOSPI","운송장비·부품","2600","-70","-2.62","526174771200"
"016380","KG스틸","KOSPI","금속","5440","-80","-1.45","544048399680"
"001390","KG케미칼","KOSPI","화학","4420","-70","-1.56","293504071120"
"001940","KISCO홀딩스","KOSPI","금속","27250","-600","-2.15","386306355000"
"025000","KPX케미칼","KOSPI","화학","54700","-400","-0.73","239515382300"
